file_path,file_size,modified_time,sha256,inferred_role,split,is_frozen,selected_for_analysis,notes
data/leakage_free/candidate_pools/formal_train_candidates.jsonl,5325604,2026-07-28 12:34:06,bb928badd9610f6d4925602ff50a0ce1be7eb53d7ae537c3d7c4f4fcf52fbf64,candidate_pool,formal_train,True,True,
data/leakage_free/candidate_pools/formal_dev_candidates.jsonl,2296108,2026-07-28 12:34:08,636a48623cf98ae4f1d60f69804655ebc2a0c9f2e6d8c4c65a1c4a6adca13b32,candidate_pool,formal_dev,True,True,
data/leakage_free/candidate_pools/internal_blind_candidates.jsonl,3585690,2026-07-28 12:34:09,2459f211842c45ab07c77f10eb114eceb886bf2bfd8dd4d293fd34020264ae8d,candidate_pool,internal_blind,True,True,
data/leakage_free/candidate_pools/cmedqa2_external_candidates.jsonl,1941038,2026-07-28 12:34:11,119172e8779f632e379986d15dc488376b466c8fff2d6bfd19d4473e00d43a0f,candidate_pool,cmedqa2_external,True,True,
data/leakage_free/splits/formal_train_qids.json,2933,2026-07-27 23:31:09,da809999f3670d1ba0c9513699bc8dea95508ab9ae80c6f1b6786cf887a5d146,split,formal_train,True,True,
data/leakage_free/splits/formal_dev_qids.json,1468,2026-07-27 23:31:09,78783201970c1d4c7272f9362003fb054c0b80cbe3e57b90a9d3106b51eaeefc,split,formal_dev,True,True,
data/leakage_free/private_annotations/formal300_annotations.jsonl,616729,2026-07-28 14:45:44,5ed2a122598b4be342a9dffed3340ddd899bd727cb1c4d672ee05055e4c1cab4,gold_annotation,formal_train+dev,True,True,
data/leakage_free/phase6b_gold/internal_blind_query_gold.jsonl,82794,2026-07-28 22:38:40,5da22bfb78d4ef1cee14d0828d55174688631bf6505bb37a8a1cd2433b43a620,gold_query,internal_blind,True,True,
data/leakage_free/phase6b_gold/internal_blind_evidence_gold.jsonl,775787,2026-07-28 22:38:39,7c7006e688df2479eb426b4b03cb76ed2ce9c0127ee5288cde62f28153598322,gold_evidence,internal_blind,True,True,
data/leakage_free/phase6b_gold/cmedqa2_external_query_gold.jsonl,45138,2026-07-28 22:38:40,46731ab61c5e65b02eaf2781de4e23816d78f5a7fd72fbfa7b0164bea5746cd8,gold_query,cmedqa2_external,True,True,
data/leakage_free/phase6b_gold/cmedqa2_external_evidence_gold.jsonl,547408,2026-07-28 22:38:40,6bee152eaa19db0da3559fa17c62a2201f449aac9e2c19db5e6ecb8831028066,gold_evidence,cmedqa2_external,True,True,
data/leakage_free/ontology/hierarchical_medical_demands_v1.json,3211,2026-07-28 16:26:54,c4a9ff6b563dee9728cfe2fcf53b65cca16edc12c3dfc573cad6700ee08bd334,ontology,all,True,True,
data/leakage_free/state_prediction/formal_train_pairs_canonical.jsonl,4885004,2026-07-28 19:11:57,0277d921e944170b1f379ba1d81a4be1bdb4ea41403d5b5172ffc9056eccafcc,pairs_canonical,formal_train,True,True,
outputs/dense_index/embeddings.npy,92737664,2026-07-23 22:07:33,c1baa93c9fff9cc57a58b766592d010a08fe29d6c0253e25e03bcace9f4f2950,embedding_cache,all,True,True,
outputs/dense_index/documents.jsonl,44408758,2026-07-23 22:07:34,e4c608e7b29edc980058178ebc977c392b822f0fe86e3ae72884ed44b8851fa1,embedding_doc_map,all,True,True,
outputs/phase6b_r7/main_results.csv,525,2026-07-29 10:21:39,701738ad085e3193b1465a263052f5ea05af6e18edb7ffe292abc05581f669a0,frozen_results,all,True,True,
experiments/common/frozen_medsage_evaluation.py,10555,2026-07-29 09:15:34,324c747c20221a9dcac60789879e3a6c73bd6abdbdc8299817b817cd0128ef80,eval_module,all,True,True,
