case_id,detector,family,pattern_id,source_exact,sink_exact,module_exact,field_exact,code_location_exact,code_location_within_3,path_valid
c_016e57250c5645a7,keyword_static_baseline,Leak-R,R3,False,False,False,False,False,False,False
c_016e57250c5645a7,ast_static_dataflow,Leak-R,R3,False,False,False,False,False,False,False
c_016e57250c5645a7,schema_guard,Leak-R,R3,False,False,False,False,False,False,False
c_016e57250c5645a7,runtime_taint,Leak-R,R3,True,False,False,True,False,False,True
c_016e57250c5645a7,invariance,Leak-R,R3,False,False,False,False,False,False,False
c_016e57250c5645a7,full_audit,Leak-R,R3,True,False,False,True,False,False,True
c_0337ee8e95fc4c30,keyword_static_baseline,Leak-M,M1,False,False,False,False,False,False,False
c_0337ee8e95fc4c30,ast_static_dataflow,Leak-M,M1,False,False,False,False,False,False,False
c_0337ee8e95fc4c30,schema_guard,Leak-M,M1,False,False,False,True,False,False,False
c_0337ee8e95fc4c30,runtime_taint,Leak-M,M1,True,True,False,True,False,False,True
c_0337ee8e95fc4c30,invariance,Leak-M,M1,False,False,False,False,False,False,True
c_0337ee8e95fc4c30,full_audit,Leak-M,M1,True,True,False,True,False,False,True
c_084667a283314b02,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_084667a283314b02,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_084667a283314b02,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_084667a283314b02,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_084667a283314b02,invariance,Clean,Clean,False,False,False,False,False,False,False
c_084667a283314b02,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_0eb7d0f8f6ee43c4,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_0eb7d0f8f6ee43c4,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_0eb7d0f8f6ee43c4,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_0eb7d0f8f6ee43c4,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_0eb7d0f8f6ee43c4,invariance,Clean,Clean,False,False,False,False,False,False,False
c_0eb7d0f8f6ee43c4,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_0f357c79137b4ab5,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_0f357c79137b4ab5,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_0f357c79137b4ab5,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_0f357c79137b4ab5,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_0f357c79137b4ab5,invariance,Clean,Clean,False,False,False,False,False,False,False
c_0f357c79137b4ab5,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_0f935733be9940a8,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_0f935733be9940a8,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_0f935733be9940a8,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_0f935733be9940a8,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_0f935733be9940a8,invariance,Clean,Clean,False,False,False,False,False,False,False
c_0f935733be9940a8,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_0fb926f7378948c2,keyword_static_baseline,Leak-R,R2,False,False,False,False,False,False,False
c_0fb926f7378948c2,ast_static_dataflow,Leak-R,R2,False,False,False,False,False,False,False
c_0fb926f7378948c2,schema_guard,Leak-R,R2,False,False,False,False,False,False,False
c_0fb926f7378948c2,runtime_taint,Leak-R,R2,True,False,False,True,False,False,True
c_0fb926f7378948c2,invariance,Leak-R,R2,False,False,False,False,False,False,False
c_0fb926f7378948c2,full_audit,Leak-R,R2,True,False,False,True,False,False,True
c_12a921a9f7574f48,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_12a921a9f7574f48,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_12a921a9f7574f48,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_12a921a9f7574f48,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_12a921a9f7574f48,invariance,Clean,Clean,False,False,False,False,False,False,False
c_12a921a9f7574f48,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_1960c4abfc3b472f,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_1960c4abfc3b472f,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_1960c4abfc3b472f,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_1960c4abfc3b472f,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_1960c4abfc3b472f,invariance,Clean,Clean,False,False,False,False,False,False,False
c_1960c4abfc3b472f,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_1bc2135ee00d465a,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_1bc2135ee00d465a,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_1bc2135ee00d465a,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_1bc2135ee00d465a,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_1bc2135ee00d465a,invariance,Clean,Clean,False,False,False,False,False,False,False
c_1bc2135ee00d465a,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_1c888b5039314b44,keyword_static_baseline,Leak-F,F3,False,False,False,False,False,False,False
c_1c888b5039314b44,ast_static_dataflow,Leak-F,F3,False,False,False,False,False,False,False
c_1c888b5039314b44,schema_guard,Leak-F,F3,False,False,False,False,False,False,False
c_1c888b5039314b44,runtime_taint,Leak-F,F3,True,True,False,True,False,False,True
c_1c888b5039314b44,invariance,Leak-F,F3,False,False,False,False,False,False,False
c_1c888b5039314b44,full_audit,Leak-F,F3,True,True,False,True,False,False,True
c_20a8d216644f4d40,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_20a8d216644f4d40,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_20a8d216644f4d40,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_20a8d216644f4d40,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_20a8d216644f4d40,invariance,Clean,Clean,False,False,False,False,False,False,False
c_20a8d216644f4d40,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_217dbdab703b4b70,keyword_static_baseline,Leak-F,F4,False,False,False,False,False,False,False
c_217dbdab703b4b70,ast_static_dataflow,Leak-F,F4,False,False,False,False,False,False,False
c_217dbdab703b4b70,schema_guard,Leak-F,F4,False,False,False,False,False,False,False
c_217dbdab703b4b70,runtime_taint,Leak-F,F4,True,False,False,True,False,False,True
c_217dbdab703b4b70,invariance,Leak-F,F4,False,False,False,False,False,False,False
c_217dbdab703b4b70,full_audit,Leak-F,F4,True,False,False,True,False,False,True
c_24e99b2a1a02410d,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_24e99b2a1a02410d,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_24e99b2a1a02410d,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_24e99b2a1a02410d,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_24e99b2a1a02410d,invariance,Clean,Clean,False,False,False,False,False,False,False
c_24e99b2a1a02410d,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_26602083d2304cbb,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_26602083d2304cbb,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_26602083d2304cbb,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_26602083d2304cbb,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_26602083d2304cbb,invariance,Clean,Clean,False,False,False,False,False,False,False
c_26602083d2304cbb,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_28b40afbe7c24860,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_28b40afbe7c24860,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_28b40afbe7c24860,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_28b40afbe7c24860,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_28b40afbe7c24860,invariance,Clean,Clean,False,False,False,False,False,False,False
c_28b40afbe7c24860,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_2b47837694ae4f1b,keyword_static_baseline,Leak-M,M1,False,False,False,False,False,False,False
c_2b47837694ae4f1b,ast_static_dataflow,Leak-M,M1,False,False,False,False,False,False,False
c_2b47837694ae4f1b,schema_guard,Leak-M,M1,False,False,False,True,False,False,False
c_2b47837694ae4f1b,runtime_taint,Leak-M,M1,True,True,False,True,False,False,True
c_2b47837694ae4f1b,invariance,Leak-M,M1,False,False,False,False,False,False,True
c_2b47837694ae4f1b,full_audit,Leak-M,M1,True,True,False,True,False,False,True
c_2cd0bf73f8224159,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_2cd0bf73f8224159,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_2cd0bf73f8224159,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_2cd0bf73f8224159,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_2cd0bf73f8224159,invariance,Clean,Clean,False,False,False,False,False,False,False
c_2cd0bf73f8224159,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_2f3efd7aa03049d7,keyword_static_baseline,Leak-R,R4,False,False,False,False,False,False,False
c_2f3efd7aa03049d7,ast_static_dataflow,Leak-R,R4,False,False,False,False,False,False,False
c_2f3efd7aa03049d7,schema_guard,Leak-R,R4,False,False,False,False,False,False,False
c_2f3efd7aa03049d7,runtime_taint,Leak-R,R4,True,True,True,True,False,False,True
c_2f3efd7aa03049d7,invariance,Leak-R,R4,False,False,False,False,False,False,False
c_2f3efd7aa03049d7,full_audit,Leak-R,R4,True,True,True,True,False,False,True
c_3095d6195ad44fdc,keyword_static_baseline,Leak-M,M2,False,False,False,False,False,False,False
c_3095d6195ad44fdc,ast_static_dataflow,Leak-M,M2,False,False,False,False,False,False,False
c_3095d6195ad44fdc,schema_guard,Leak-M,M2,False,False,False,True,False,False,False
c_3095d6195ad44fdc,runtime_taint,Leak-M,M2,True,True,False,True,False,False,True
c_3095d6195ad44fdc,invariance,Leak-M,M2,False,False,False,False,False,False,False
c_3095d6195ad44fdc,full_audit,Leak-M,M2,True,True,False,True,False,False,True
c_375a3acdd9024342,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_375a3acdd9024342,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_375a3acdd9024342,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_375a3acdd9024342,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_375a3acdd9024342,invariance,Clean,Clean,False,False,False,False,False,False,False
c_375a3acdd9024342,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_387d494f03c1487e,keyword_static_baseline,Leak-F,F2,False,False,False,False,False,False,False
c_387d494f03c1487e,ast_static_dataflow,Leak-F,F2,False,False,False,False,False,False,False
c_387d494f03c1487e,schema_guard,Leak-F,F2,False,False,False,False,False,False,False
c_387d494f03c1487e,runtime_taint,Leak-F,F2,True,True,False,True,False,False,True
c_387d494f03c1487e,invariance,Leak-F,F2,False,False,False,False,False,False,False
c_387d494f03c1487e,full_audit,Leak-F,F2,True,True,False,True,False,False,True
c_44e48d8e577c47fb,keyword_static_baseline,Leak-F,F3,False,False,False,False,False,False,False
c_44e48d8e577c47fb,ast_static_dataflow,Leak-F,F3,False,False,False,False,False,False,False
c_44e48d8e577c47fb,schema_guard,Leak-F,F3,False,False,False,False,False,False,False
c_44e48d8e577c47fb,runtime_taint,Leak-F,F3,True,True,False,True,False,False,True
c_44e48d8e577c47fb,invariance,Leak-F,F3,False,False,False,False,False,False,False
c_44e48d8e577c47fb,full_audit,Leak-F,F3,True,True,False,True,False,False,True
c_46894f5d00dd47e3,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_46894f5d00dd47e3,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_46894f5d00dd47e3,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_46894f5d00dd47e3,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_46894f5d00dd47e3,invariance,Clean,Clean,False,False,False,False,False,False,False
c_46894f5d00dd47e3,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_46af0707d227425e,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_46af0707d227425e,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_46af0707d227425e,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_46af0707d227425e,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_46af0707d227425e,invariance,Clean,Clean,False,False,False,False,False,False,False
c_46af0707d227425e,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_4ebe8fd5a7034199,keyword_static_baseline,Clean,Clean,True,True,False,False,False,False,False
c_4ebe8fd5a7034199,ast_static_dataflow,Clean,Clean,False,False,False,False,False,False,False
c_4ebe8fd5a7034199,schema_guard,Clean,Clean,False,False,False,False,False,False,False
c_4ebe8fd5a7034199,runtime_taint,Clean,Clean,False,False,False,False,False,False,False
c_4ebe8fd5a7034199,invariance,Clean,Clean,False,False,False,False,False,False,False
c_4ebe8fd5a7034199,full_audit,Clean,Clean,False,False,False,False,False,False,False
c_5098e6020128428a,keyword_static_baseline,Leak-M,M1,False,False,False,False,False,False,False
c_5098e6020128428a,ast_static_dataflow,Leak-M,M1,False,False,False,False,False,False,False
